# w      Rpp                     Rps                     Rsp                     Rss
02.06    4.09758334222096e+02    1.16332555710044e+01    1.18129957039296e+00    1.44873525451467e+00
02.07    4.22599832425023e+02    9.96722116736896e+00    9.60011817701568e-01    1.23737217726007e+00
02.08    4.31549063476355e+02    8.31406017928325e+00    7.55551485424900e-01    1.02887080272323e+00
02.09    4.35966464606221e+02    6.73036848658266e+00    5.75554494586733e-01    8.30213939521885e-01
02.10    4.35437877570203e+02    5.27491602470638e+00    4.27360104119631e-01    6.48561963528752e-01
02.11    4.29822898519815e+02    3.99795758540022e+00    3.16768564495886e-01    4.89935958475495e-01
02.12    4.19320046922120e+02    2.93547098651927e+00    2.47121848604135e-01    3.58529720253061e-01
02.13    4.04453367135584e+02    2.11088821285563e+00    2.18912440649335e-01    2.56944387482049e-01
02.14    3.86104789497374e+02    1.54457040532689e+00    2.29904706415528e-01    1.87364130382366e-01
02.15    3.65473006227633e+02    1.26655510440834e+00    2.75683911585078e-01    1.53104036816129e-01
02.16    3.44058335240465e+02    1.32606823244946e+00    3.50331128699888e-01    1.59731973440753e-01
02.17    3.23544883027590e+02    1.79155740415565e+00    4.46990510846428e-01    2.15028190112358e-01
02.18    3.05796571347214e+02    2.73808010560702e+00    5.58327607094077e-01    3.27436271412139e-01
02.19    2.92669596182408e+02    4.22358259345312e+00    6.76733331790935e-01    5.03215936820025e-01
02.20    2.85934561914023e+02    6.26099091444434e+00    7.94489870341028e-01    7.43161376265153e-01
02.21    2.87111348362419e+02    8.79618992711011e+00    9.04166176220034e-01    1.04010239489760e+00
02.22    2.97337988260843e+02    1.16998750965886e+01    9.99013786668685e-01    1.37808948571696e+00
02.23    3.17213892559947e+02    1.47787420908564e+01    1.07357387343565e+00    1.73388454701296e+00
02.24    3.46737836006564e+02    1.78027431283219e+01    1.12422357641801e+00    2.08030872057790e+00
02.25    3.85244350298189e+02    2.05437565266700e+01    1.14943889654242e+00    2.39082654749624e+00
02.26    4.31438959065641e+02    2.28122598159187e+01    1.14983295495622e+00    2.64382002148314e+00
02.27    4.83533602187825e+02    2.44841867026679e+01    1.12777704781943e+00    2.82561324519722e+00
02.28    5.39358053447417e+02    2.55116747765878e+01    1.08678500981530e+00    2.93152954079550e+00
02.29    5.96625024536921e+02    2.59179916136950e+01    1.03092842980581e+00    2.96517273958484e+00
02.30    6.53111310033453e+02    2.57774547665451e+01    9.64165770901527e-01    2.93591181138193e+00
02.31    7.06886341858276e+02    2.51936682898804e+01    8.90027483994360e-01    2.85632742646476e+00
02.32    7.56456368772221e+02    2.42749746234230e+01    8.11415821775589e-01    2.73934504075690e+00
02.33    8.00836572777454e+02    2.31189557132173e+01    7.30595028375305e-01    2.59646725094822e+00
02.34    8.39581535752863e+02    2.18019190368157e+01    6.49309054474069e-01    2.43662139635144e+00
02.35    8.72742798408027e+02    2.03784217246147e+01    5.68964226979307e-01    2.26615422114023e+00
02.36    9.00863633736647e+02    1.88856823834733e+01    4.90823616959275e-01    2.08940885302550e+00
02.37    9.24718196649889e+02    1.73478712809538e+01    4.16027424453993e-01    1.90918249685331e+00
02.38    9.45311650287873e+02    1.57836761473538e+01    3.45691540025779e-01    1.72764918726162e+00
02.39    9.63705958719949e+02    1.42108072147270e+01    2.80838538508432e-01    1.54682542417191e+00
02.40    9.80901759721475e+02    1.26490597149053e+01    2.22371076331484e-01    1.36892874116872e+00
02.41    9.97701258634719e+02    1.11205185033122e+01    1.70975417493844e-01    1.19636622096739e+00
02.42    1.01470314135732e+03    9.64984971828653e+00    1.27116983732133e-01    1.03177939020118e+00
02.43    1.03223202305866e+03    8.26210362722680e+00    9.09990759982285e-02    8.77784400269737e-01
02.44    1.05034675278659e+03    6.98029711408261e+00    6.25814649456026e-02    7.36716711844568e-01
