# w(eV)  Rpp                     Rps                     Rsp                     Rss
01.19    2.43266962777719e+30    6.21464930444906e+29    5.52149051950706e+26    9.58706899267411e+28
01.20    2.58164107019462e+30    6.98431110620284e+29    5.47996770830361e+26    1.07596693749960e+29
01.21    2.73999709818742e+30    7.79899537211275e+29    5.30818677465328e+26    1.19981767122910e+29
01.22    2.90450126521295e+30    8.63883664322851e+29    5.02459017340405e+26    1.32717520421073e+29
01.23    3.07063395229863e+30    9.47688210252694e+29    4.68561899635585e+26    1.45387059948816e+29
01.24    3.23307923348658e+30    1.02806161028413e+30    4.40105994638927e+26    1.57493263750657e+29
01.25    3.38553202540256e+30    1.10122239306955e+30    4.34214604527432e+26    1.68458766391628e+29
01.26    3.52138527697934e+30    1.16323283094846e+30    4.74039429198633e+26    1.77687291987973e+29
01.27    3.63371432313520e+30    1.21025887517528e+30    5.87000106758562e+26    1.84599399467935e+29
01.28    3.71627396376599e+30    1.23913658364090e+30    8.01668876826400e+26    1.88724808859692e+29
01.29    3.76334312891720e+30    1.24761765027174e+30    1.14343533001599e+27    1.89731935413255e+29
01.30    3.77074779956020e+30    1.23481649624039e+30    1.62991171963997e+27    1.87502085200909e+29
01.31    3.73569271083883e+30    1.20117897244576e+30    2.26712100816284e+27    1.82115792238691e+29
01.32    3.65751209544687e+30    1.14856771135163e+30    3.04723107481500e+27    1.73870679703260e+29
01.33    3.53746394881754e+30    1.07992983072148e+30    3.94889822528822e+27    1.63225825231720e+29
01.34    3.37878452416677e+30    9.98974302820340e+29    4.93960205909553e+27    1.50752676820524e+29
01.35    3.18635862179872e+30    9.09782100644710e+29    5.98024014230875e+27    1.37075345094102e+29
01.36    2.96622492144879e+30    8.16444614561259e+29    7.03025587260454e+27    1.22815104863478e+29
01.37    2.72517922324829e+30    7.22814408755460e+29    8.05302524462468e+27    1.08554265422628e+29
01.38    2.47020068405956e+30    6.32328153869886e+29    9.01975336018458e+27    9.48094767715731e+28
01.39    2.20792607814509e+30    5.47919003658570e+29    9.91030256190144e+27    8.20179494517875e+28
01.40    1.94437813775044e+30    4.72009514421092e+29    1.07126192033225e+28    7.05372946265252e+28
01.41    1.68492008024826e+30    4.06556612213419e+29    1.14206970252000e+28    6.06536385492622e+28
01.42    1.43425788630485e+30    3.53061810362083e+29    1.20322686430252e+28    5.25831662114383e+28
01.43    1.19655678488175e+30    3.12608803381050e+29    1.25478092816244e+28    4.64784731935327e+28
01.44    9.75436137483927e+29    2.85807822974325e+29    1.29698642872244e+28    4.24201273391752e+28
01.45    7.74127998794880e+29    2.72754134603351e+29    1.33052055658938e+28    4.04116914178514e+28
01.46    5.95424535763476e+29    2.72987995218940e+29    1.35677812186941e+28    4.03749338553149e+28
01.47    4.41450167195785e+29    2.85393525942461e+29    1.37766595331907e+28    4.21343022866391e+28
01.48    3.13584845876714e+29    3.08242790247582e+29    1.39572290481543e+28    4.54256311292221e+28
01.49    2.12273757926830e+29    3.39248938075718e+29    1.41366250454732e+28    4.99040652494061e+28
01.50    1.36984528423237e+29    3.75752240525968e+29    1.43393709450131e+28    5.51721032628771e+28
01.51    8.62960109116894e+28    4.14970754436344e+29    1.45841430734107e+28    6.08175922844638e+28
01.52    5.80902584044790e+28    4.54299726805157e+29    1.48795995830312e+28    6.64567880637924e+28
01.53    4.98577047900776e+28    4.91605914208387e+29    1.52249246767002e+28    7.17781984458257e+28
01.54    5.90090331413721e+28    5.25399118486518e+29    1.56092095134164e+28    7.65658252680625e+28
01.55    8.31485403206309e+28    5.54985925279940e+29    1.60154311055082e+28    8.07215477053282e+28
01.56    1.20232997954967e+29    5.80418911670798e+29    1.64237304773162e+28    8.42560013322387e+28
01.57    1.68598808344868e+29    6.02436103213348e+29    1.68183113982092e+28    8.72802433191952e+28
01.58    2.26826358024771e+29    6.22223791281255e+29    1.71888679760387e+28    8.99682569031254e+28
01.59    2.93532730346259e+29    6.41239893339161e+29    1.75359160541939e+28    9.25318494241564e+28
01.60    3.67126377473730e+29    6.61022510331719e+29    1.78735530473390e+28    9.51935007536576e+28
01.61    4.45597956249559e+29    6.82961680574589e+29    1.82276448099699e+28    9.81518023955037e+28
01.62    5.26466299854272e+29    7.08170855529455e+29    1.86357620715806e+28    1.01564857983995e+29
01.63    6.06853291358048e+29    7.37343022071550e+29    1.91415734698372e+28    1.05528384847292e+29
01.64    6.83736059158454e+29    7.70687859519372e+29    1.97923741877419e+28    1.10068616272159e+29
01.65    7.54315684259282e+29    8.07949782384456e+29    2.06339657296669e+28    1.15145175908443e+29
01.66    8.16378925001232e+29    8.48428563239241e+29    2.17071916277644e+28    1.20654205634640e+29
01.67    8.68696627102492e+29    8.91167526964029e+29    2.30475993271691e+28    1.26457795907724e+29
01.68    9.11104356615559e+29    9.34969838651779e+29    2.46805415663609e+28    1.32383131713566e+29
01.69    9.44629823646820e+29    9.78640545065551e+29    2.66244499069776e+28    1.38260124584444e+29
01.70    9.71304229087447e+29    1.02103960655249e+30    2.88910954836991e+28    1.43928533226030e+29
01.71    9.93744402019155e+29    1.06107756774081e+30    3.14831404382800e+28    1.49234911234583e+29
